"case_id","title","symptom","topology_note","show_outputs","expected_fault","expected_root_cause","osi_layer","concept_tag","severity","expected_next_command","expected_fix_steps"
"NS-01","PC in VLAN 10 cannot reach its gateway","PC1 has a valid static IP and a green link light, but ping to its default gateway 10.10.10.1 times out. Ping to other staff PCs also fails. PC1 can ping nothing except itself.","SW1 (L2) Fa0/1 -> PC1. VLAN 10 = STAFF (10.10.10.0/24), VLAN 20 = GUEST (10.10.20.0/24). SVIs live on the distribution L3 switch, trunked to SW1 on Gi0/1.","SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/5, Fa0/6, Fa0/7, Fa0/8
10   STAFF                            active    Fa0/2, Fa0/3
20   GUEST                            active    Fa0/1, Fa0/4
1002 fddi-default                     active

SW1# show interfaces FastEthernet0/1 switchport
Name: Fa0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Access Mode VLAN: 20 (GUEST)
Trunking Native Mode VLAN: 1 (default)

SW1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
FastEthernet0/1        unassigned      YES unset  up                    up
FastEthernet0/2        unassigned      YES unset  up                    up
GigabitEthernet0/1     unassigned      YES unset  up                    up
Vlan1                  unassigned      YES unset  administratively down down

DSW1# show ip interface brief | include Vlan
Vlan10                 10.10.10.1      YES manual up                    up
Vlan20                 10.10.20.1      YES manual up                    up

PC1> ipconfig
   IP Address......................: 10.10.10.11
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 10.10.10.1
   DNS Server......................: 10.10.50.10","Access port Fa0/1 is assigned to VLAN 20 (GUEST) instead of VLAN 10 (STAFF)","VLAN membership mismatch: the host is addressed for the 10.10.10.0/24 STAFF subnet but its switch port places it in the GUEST broadcast domain, so its ARP for the gateway never reaches the VLAN 10 SVI.","L2","vlan","High","show interfaces FastEthernet0/1 switchport","1) conf t | 2) interface FastEthernet0/1 | 3) switchport mode access | 4) switchport access vlan 10 | 5) end | 6) verify: show vlan brief (Fa0/1 must appear under VLAN 10) | 7) verify: PC1 ping 10.10.10.1 succeeds"
"NS-02","Whole department offline after new VLAN rollout","All six PCs on the new FINANCE segment lost connectivity at once. Ports show as connected on the switch but no host can ping the gateway 172.16.30.1. This started right after the FINANCE VLAN was rolled out.","SW2 Fa0/10-0/15 -> FINANCE PCs (172.16.30.0/24). The ports were configured with 'switchport access vlan 30' but the VLAN itself was never created in the VLAN database.","SW2# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/16, Fa0/17, Fa0/18
10   STAFF                            active    Fa0/1, Fa0/2, Fa0/3
20   GUEST                            active    Fa0/4, Fa0/5
1002 fddi-default                     active

SW2# show interfaces FastEthernet0/10 switchport
Name: Fa0/10
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Access Mode VLAN: 30 (Inactive)
Trunking Native Mode VLAN: 1 (default)

SW2# show interfaces status
Port      Name               Status       Vlan       Duplex  Speed Type
Fa0/10                       connected    30         a-full a-100 10/100BaseTX
Fa0/11                       connected    30         a-full a-100 10/100BaseTX
Fa0/12                       connected    30         a-full a-100 10/100BaseTX

PC-FIN-1> ipconfig
   IP Address......................: 172.16.30.21
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 172.16.30.1
   DNS Server......................: 172.16.50.10","VLAN 30 is referenced by the access ports but does not exist in the VLAN database","Assigning 'switchport access vlan 30' does not create VLAN 30 on an IOS switch when VTP is in transparent/off mode. The port shows 'Access Mode VLAN: 30 (Inactive)' and the switch drops all frames for the non-existent VLAN.","L2","vlan","Critical","show vlan brief","1) conf t | 2) vlan 30 | 3) name FINANCE | 4) exit | 5) end | 6) verify: show vlan brief shows VLAN 30 active with Fa0/10-15 | 7) verify: PC-FIN-1 ping 172.16.30.1"
"NS-03","VLAN 20 works locally but not across the trunk","Guest PCs on SW1 can ping each other, and guest PCs on SW2 can ping each other, but a guest PC on SW1 cannot ping a guest PC on SW2. VLAN 10 works fine between both switches.","SW1 Gi0/1 <-> SW2 Gi0/1 is an 802.1Q trunk. VLAN 10 = STAFF, VLAN 20 = GUEST. The allowed VLAN list on the trunk was edited during a change window.","SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1,10

Port        Vlans allowed and active in management domain
Gi0/1       1,10

Port        Vlans in spanning tree forwarding state and not pruned
Gi0/1       1,10

SW2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1-4094

SW1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/9
10   STAFF                            active    Fa0/1, Fa0/2
20   GUEST                            active    Fa0/4, Fa0/5","VLAN 20 is missing from the allowed VLAN list on the SW1 trunk Gi0/1","'switchport trunk allowed vlan 1,10' on SW1 Gi0/1 filters VLAN 20 tagged frames off the trunk. Intra-switch traffic in VLAN 20 still works because it never crosses the trunk, which is why the fault looks partial.","L2","trunking","High","show interfaces trunk","1) conf t | 2) interface GigabitEthernet0/1 | 3) switchport trunk allowed vlan add 20 | 4) end | 5) verify: show interfaces trunk lists 1,10,20 as allowed and active | 6) verify: cross-switch ping inside VLAN 20"
"NS-04","Native VLAN mismatch warnings on the trunk","The console prints repeating CDP native VLAN mismatch messages. Hosts in VLAN 1 and VLAN 99 can unexpectedly reach each other, and management traffic behaves erratically.","SW1 Gi0/1 <-> SW2 Gi0/1 trunk. The design calls for native VLAN 99 (MGMT) on both ends; SW2 was rebuilt from an older template.","SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      99

Port        Vlans allowed on trunk
Gi0/1       1,10,20,99

SW2# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         trunking      1

Port        Vlans allowed on trunk
Gi0/1       1,10,20,99

SW1# show logging | include MISMATCH
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with SW2 GigabitEthernet0/1 (1).
%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with SW2 GigabitEthernet0/1 (1).","802.1Q native VLAN mismatch across the trunk: VLAN 99 on SW1 versus VLAN 1 on SW2","Untagged frames arriving on SW1 are placed in VLAN 99 while SW2 places them in VLAN 1. The two native VLANs are stitched together, which merges the broadcast domains and is a VLAN-hopping security exposure.","L2","trunking","High","show interfaces trunk","1) On SW2: conf t | 2) interface GigabitEthernet0/1 | 3) switchport trunk native vlan 99 | 4) end | 5) verify: show interfaces trunk shows native vlan 99 on both switches | 6) verify: no further CDP-4-NATIVE_VLAN_MISMATCH in show logging"
"NS-05","Trunk never forms between two switches","Only VLAN 1 traffic passes between SW1 and SW2. VLAN 10 and VLAN 20 hosts cannot reach anything on the far switch. The physical link is up.","SW1 Gi0/1 was set to 'switchport mode trunk'. SW2 Gi0/1 was left as a static access port after a technician cleared its config.","SW1# show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Gi0/1       on           802.1q         not-trunking  1

Port        Vlans allowed on trunk
Gi0/1       1

SW2# show interfaces GigabitEthernet0/1 switchport
Name: Gi0/1
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Access Mode VLAN: 1 (default)
Trunking Native Mode VLAN: 1 (default)

SW1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     unassigned      YES unset  up                    up
FastEthernet0/1        unassigned      YES unset  up                    up
Vlan99                 192.168.99.1    YES manual up                    up","SW2 Gi0/1 is a static access port, so the 802.1Q trunk never negotiates","SW1 is hard-set to trunk while SW2 is hard-set to access. DTP cannot reconcile the two, SW1 reports 'not-trunking', and only untagged VLAN 1 frames traverse the link.","L2","trunking","Critical","show interfaces trunk","1) On SW2: conf t | 2) interface GigabitEthernet0/1 | 3) switchport trunk encapsulation dot1q | 4) switchport mode trunk | 5) switchport trunk allowed vlan 1,10,20,99 | 6) end | 7) verify: show interfaces trunk reports Status trunking on both ends"
"NS-06","Uplink dark after maintenance window","Every VLAN on SW3 lost reachability to the rest of the campus at 02:15. Local switching inside SW3 still works. No link light on the uplink port.","SW3 Gi0/2 is the uplink trunk to the distribution switch. A maintenance script ran overnight.","SW3# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
GigabitEthernet0/1     unassigned      YES unset  up                    up
GigabitEthernet0/2     unassigned      YES unset  administratively down down
FastEthernet0/1        unassigned      YES unset  up                    up
FastEthernet0/2        unassigned      YES unset  up                    up
Vlan99                 192.168.99.3    YES manual up                    up

SW3# show interfaces GigabitEthernet0/2
GigabitEthernet0/2 is administratively down, line protocol is down (disabled)
  Hardware is Lance, address is 0060.5c2b.4401
  MTU 1500 bytes, BW 1000000 Kbit, DLY 100 usec

SW3# show interfaces trunk

SW3# show cdp neighbors
Device ID    Local Intrfce   Holdtme   Capability  Platform   Port ID
PC-STAFF-3   Fas 0/1         168        H          PC         Eth0","Uplink trunk GigabitEthernet0/2 is administratively down (shutdown)","The uplink interface is in the 'administratively down' state, so no trunk is present in 'show interfaces trunk' and the CDP neighbour table no longer lists the distribution switch. Every inter-switch VLAN path is severed at Layer 1/2.","L1","trunking","Critical","show ip interface brief","1) conf t | 2) interface GigabitEthernet0/2 | 3) no shutdown | 4) end | 5) verify: show ip interface brief shows Gi0/2 up/up | 6) verify: show interfaces trunk lists Gi0/2 | 7) verify: show cdp neighbors shows the distribution switch"
"NS-07","Router-on-a-stick: one VLAN cannot route","VLAN 10 hosts can reach VLAN 30 and the internet. VLAN 20 hosts can ping each other but cannot ping their gateway 192.168.20.1 or anything outside VLAN 20.","R1 Gi0/0 is a router-on-a-stick trunk to SW1 with subinterfaces Gi0/0.10, Gi0/0.20, Gi0/0.30. Gi0/0.20 was re-typed by hand after a config restore.","R1# show running-config | section interface
interface GigabitEthernet0/0
 no ip address
 duplex auto
 speed auto
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 192.168.10.1 255.255.255.0
interface GigabitEthernet0/0.20
 ip address 192.168.20.1 255.255.255.0
interface GigabitEthernet0/0.30
 encapsulation dot1Q 30
 ip address 192.168.30.1 255.255.255.0

R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES manual up                    up
GigabitEthernet0/0.10      192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20      192.168.20.1    YES manual up                    down
GigabitEthernet0/0.30      192.168.30.1    YES manual up                    up
GigabitEthernet0/1         203.0.113.2     YES manual up                    up

PC-GUEST-1> ipconfig
   IP Address......................: 192.168.20.50
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 192.168.20.1
   DNS Server......................: 192.168.30.10","Subinterface Gi0/0.20 is missing its 'encapsulation dot1Q 20' statement","Without an 802.1Q encapsulation binding, the subinterface has no VLAN tag to match, so its line protocol stays down and VLAN 20 has no Layer 3 gateway even though the IP address is configured.","L3","inter_vlan_routing","High","show running-config | section interface","1) conf t | 2) interface GigabitEthernet0/0.20 | 3) encapsulation dot1Q 20 | 4) ip address 192.168.20.1 255.255.255.0 | 5) end | 6) verify: show ip interface brief shows Gi0/0.20 up/up | 7) verify: PC-GUEST-1 ping 192.168.20.1"
"NS-08","All VLANs lost inter-VLAN routing simultaneously","Every VLAN can still switch internally, but no VLAN can reach any other VLAN and nothing reaches the internet. The failure was total and instant.","R1 Gi0/0 carries all router-on-a-stick subinterfaces to SW1. R1 Gi0/1 is the ISP link.","R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0         unassigned      YES manual administratively down down
GigabitEthernet0/0.10      192.168.10.1    YES manual administratively down down
GigabitEthernet0/0.20      192.168.20.1    YES manual administratively down down
GigabitEthernet0/0.30      192.168.30.1    YES manual administratively down down
GigabitEthernet0/1         203.0.113.2     YES manual up                    up

R1# show interfaces GigabitEthernet0/0
GigabitEthernet0/0 is administratively down, line protocol is down (disabled)
  Hardware is CN Gigabit Ethernet, address is 0001.6438.d201
  MTU 1500 bytes, BW 1000000 Kbit/sec, DLY 100 usec

R1# show ip route
Gateway of last resort is 203.0.113.1 to network 0.0.0.0

     203.0.113.0/24 is variably subnetted, 2 subnets, 2 masks
C       203.0.113.0/30 is directly connected, GigabitEthernet0/1
L       203.0.113.2/32 is directly connected, GigabitEthernet0/1
S*   0.0.0.0/0 [1/0] via 203.0.113.1","Physical interface Gi0/0 is shut down, which takes every dot1Q subinterface down with it","Subinterfaces inherit the state of their parent. With Gi0/0 administratively down all three gateways are unreachable and the connected VLAN routes have been withdrawn from the routing table, so inter-VLAN routing and the default path both fail.","L1","inter_vlan_routing","Critical","show ip interface brief","1) conf t | 2) interface GigabitEthernet0/0 | 3) no shutdown | 4) end | 5) verify: show ip interface brief shows Gi0/0 and all .10/.20/.30 subinterfaces up/up | 6) verify: show ip route lists the three connected VLAN subnets | 7) verify: inter-VLAN ping"
"NS-09","Layer 3 switch will not route between SVIs","Hosts in VLAN 10 and VLAN 20 can ping their own SVI gateway addresses but cannot ping each other's gateway or hosts. Both SVIs show up/up.","MLS1 is a multilayer switch acting as the distribution gateway with SVIs for VLAN 10 and VLAN 20. It was reset to defaults and reconfigured.","MLS1# show ip interface brief
Interface              IP-Address      OK? Method Status                Protocol
Vlan10                 192.168.10.1    YES manual up                    up
Vlan20                 192.168.20.1    YES manual up                    up
GigabitEthernet1/0/1   unassigned      YES unset  up                    up
GigabitEthernet1/0/2   unassigned      YES unset  up                    up

MLS1# show running-config | include ip routing
Building configuration...

MLS1# show ip route
Default gateway is not set

Host               Gateway           Last Use    Total Uses  Interface
ICMP redirect cache is empty

MLS1# show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
10   STAFF                            active    Gi1/0/3, Gi1/0/4
20   GUEST                            active    Gi1/0/5, Gi1/0/6","IP routing is disabled on the multilayer switch ('ip routing' is absent)","Without the global 'ip routing' command the switch behaves as a Layer 2 device with management SVIs. It shows 'Default gateway is not set' instead of a routing table, so packets are never forwarded between VLAN 10 and VLAN 20.","L3","inter_vlan_routing","Critical","show ip route","1) conf t | 2) ip routing | 3) end | 4) verify: show ip route now displays connected routes for 192.168.10.0/24 and 192.168.20.0/24 | 5) verify: host in VLAN 10 pings host in VLAN 20"
"NS-10","One PC cannot leave its subnet, neighbours are fine","PC-STAFF-7 can ping other hosts on 192.168.10.0/24 but cannot ping 192.168.20.10 or 8.8.8.8. Every other PC on the same switch works normally.","VLAN 10 = 192.168.10.0/24, gateway 192.168.10.1 on R1 Gi0/0.10. The PC was re-imaged and re-addressed manually.","PC-STAFF-7> ipconfig /all
   Physical Address................: 0060.3E4A.117B
   IP Address......................: 192.168.10.77
   Subnet Mask.....................: 255.255.255.0
   Default Gateway.................: 192.168.1.1
   DNS Server......................: 192.168.30.10

PC-STAFF-7> ping 192.168.10.12
Reply from 192.168.10.12: bytes=32 time<1ms TTL=128
Reply from 192.168.10.12: bytes=32 time<1ms TTL=128

PC-STAFF-7> ping 192.168.20.10
Ping statistics for 192.168.20.10:
    Packets: Sent = 4, Received = 0, Lost = 4 (100% loss)

R1# show ip interface brief
Interface                  IP-Address      OK? Method Status                Protocol
GigabitEthernet0/0.10      192.168.10.1    YES manual up                    up
GigabitEthernet0/0.20      192.168.20.1    YES manual up                    up
GigabitEthernet0/1         203.0.113.2     YES manual up                    up","PC-STAFF-7 has the wrong default gateway (192.168.1.1 instead of 192.168.10.1)","The configured gateway 192.168.1.1 is outside the host's own 192.168.10.0/24 subnet, so the host has no usable next hop for off-net traffic. Same-subnet traffic still works because it is delivered by ARP without a router.","L3","addressing","Medium","ipconfig /all","1) On PC-STAFF-7 open Desktop > IP Configuration | 2) set Default Gateway to 192.168.10.1 | 3) verify: ipconfig shows the corrected gateway | 4) verify: ping 192.168.20.10 succeeds | 5) verify: ping 8.8.8.8 succeeds"
