"case_id","provider","model","latency_ms","ai_root_cause","ai_confidence","ai_osi_layer","ai_concept_tag","ai_next_command","ai_severity","ai_evidence","ai_fix_steps","ai_risk_note","rule_findings","rule_finding_count","expected_fault","expected_concept_tag","expected_osi_layer","concept_correct","layer_correct","evidence_grounded","ai_correct","keyword_overlap","parse_repaired","fell_back_to_mock","error"
"NS-01","mock","netsage-heuristic-v1","0","PC1 is addressed 10.10.10.11/255.255.255.0, which belongs to VLAN 10 (SVI 10.10.10.1), but its switch port is in VLAN 20. The host is in the wrong broadcast domain.","high","L2","vlan","show interfaces switchport","High","Access Mode VLAN: 20 (GUEST) || Vlan10                 10.10.10.1      YES manual up                    up || IP Address......................: 10.10.10.11","conf t | interface <port> | switchport access vlan <correct-id> | end | Verify: show vlan brief places the port in the right VLAN and the host pings its gateway","Moving an access port between VLANs flushes that port's MAC entries and will briefly interrupt any other device on it.","VLAN_MISMATCH","1","Access port Fa0/1 is assigned to VLAN 20 (GUEST) instead of VLAN 10 (STAFF)","vlan","L2","True","True","True","True","0.261","False","False",""
"NS-02","mock","netsage-heuristic-v1","0","An access port is assigned to VLAN 30 but the switch reports it as Inactive, meaning the VLAN was never created in the VLAN database. All frames for that VLAN are dropped.","high","L2","vlan","show vlan brief","Critical","Access Mode VLAN: 30 (Inactive) || Fa0/10                       connected    30         a-full a-100 10/100BaseTX || Fa0/11                       connected    30         a-full a-100 10/100BaseTX || Fa0/12                       connected    30         a-full a-100 10/100BaseTX","conf t | vlan <id> | name <NAME> | end | Verify: show vlan brief lists the VLAN as active with its member ports","Moving an access port between VLANs flushes that port's MAC entries and will briefly interrupt any other device on it.","VLAN_NOT_IN_DATABASE ; VLAN_NOT_IN_DATABASE ; VLAN_NOT_IN_DATABASE ; VLAN_NOT_IN_DATABASE","4","VLAN 30 is referenced by the access ports but does not exist in the VLAN database","vlan","L2","True","True","True","True","0.24","False","False",""
"NS-03","mock","netsage-heuristic-v1","0","VLAN 20 (GUEST) is active on SW1 with member ports Fa0/4, Fa0/5, but it is not in the allowed VLAN list on trunk Gi0/1. Traffic for that VLAN works locally and fails across the trunk.","high","L2","trunking","show interfaces trunk","High","Gi0/1       on           802.1q         trunking      1 || 20   GUEST                            active    Fa0/4, Fa0/5","conf t | interface <trunk-port> | switchport trunk allowed vlan add <id> | end | Verify: show interfaces trunk lists the VLAN as allowed and active","Editing an allowed-VLAN list with 'switchport trunk allowed vlan <list>' replaces the list. Always use 'add' unless you intend to overwrite it.","VLAN_NOT_ALLOWED_ON_TRUNK","1","VLAN 20 is missing from the allowed VLAN list on the SW1 trunk Gi0/1","trunking","L2","True","True","True","True","0.32","False","False",""
"NS-04","mock","netsage-heuristic-v1","0","The two ends of the trunk disagree on the native VLAN ([1, 99]). Untagged frames are placed in different VLANs on each side, merging the broadcast domains and creating a VLAN-hopping exposure.","high","L2","trunking","show interfaces trunk","High","%CDP-4-NATIVE_VLAN_MISMATCH: Native VLAN mismatch discovered on GigabitEthernet0/1 (99), with SW2 GigabitEthernet0/1 (1). || Gi0/1       on           802.1q         trunking      99 || Gi0/1       on           802.1q         trunking      1","conf t | interface <trunk-port> | switchport trunk native vlan <agreed-id> | end | Verify: both ends report the same native VLAN and the CDP mismatch log stops","Editing an allowed-VLAN list with 'switchport trunk allowed vlan <list>' replaces the list. Always use 'add' unless you intend to overwrite it.","NATIVE_VLAN_MISMATCH","1","802.1Q native VLAN mismatch across the trunk: VLAN 99 on SW1 versus VLAN 1 on SW2","trunking","L2","True","True","True","True","0.48","False","False",""
"NS-05","mock","netsage-heuristic-v1","0","SW1 Gi0/1 reports 'not-trunking'. The far end is most likely a static access port or the encapsulation/mode pair cannot be negotiated, so only untagged VLAN 1 traffic crosses the link.","high","L2","trunking","show interfaces trunk","Critical","Gi0/1       on           802.1q         not-trunking  1","conf t | interface <port> | switchport trunk encapsulation dot1q | switchport mode trunk | end | Verify: show interfaces trunk reports Status trunking on both ends","Editing an allowed-VLAN list with 'switchport trunk allowed vlan <list>' replaces the list. Always use 'add' unless you intend to overwrite it.","TRUNK_NOT_FORMING","1","SW2 Gi0/1 is a static access port, so the 802.1Q trunk never negotiates","trunking","L2","True","True","True","True","0.48","False","False",""
"NS-06","mock","netsage-heuristic-v1","0","SW3 GigabitEthernet0/2 is administratively down (shutdown). Every VLAN, subinterface or route that depends on it is unreachable.","high","L1","trunking","show ip interface brief","Critical","GigabitEthernet0/2     unassigned      YES unset  administratively down down","conf t | interface <interface> | no shutdown | end | Verify: show ip interface brief reports the interface up/up","Editing an allowed-VLAN list with 'switchport trunk allowed vlan <list>' replaces the list. Always use 'add' unless you intend to overwrite it.","IFACE_ADMIN_DOWN","1","Uplink trunk GigabitEthernet0/2 is administratively down (shutdown)","trunking","L1","True","True","True","True","0.231","False","False",""
"NS-07","mock","netsage-heuristic-v1","0","R1 GigabitEthernet0/0.20 has an IP address but no 'encapsulation dot1Q' statement. Without a VLAN tag binding, the subinterface line protocol stays down and that VLAN has no Layer 3 gateway.","high","L3","inter_vlan_routing","show running-config | section interface","High","interface GigabitEthernet0/0.20 || ip address 192.168.20.1 255.255.255.0 || GigabitEthernet0/0.20      192.168.20.1    YES manual up                    down","conf t | interface <subinterface> | encapsulation dot1Q <vlan> | ip address <ip> <mask> | end | Verify: the subinterface is up/up and hosts in that VLAN ping their gateway","Bouncing a parent interface takes every subinterface down with it, so schedule it outside production hours.","IFACE_PROTO_DOWN ; SUBIF_NO_ENCAPSULATION","2","Subinterface Gi0/0.20 is missing its 'encapsulation dot1Q 20' statement","inter_vlan_routing","L3","True","True","True","True","0.591","False","False",""
"NS-08","mock","netsage-heuristic-v1","0","R1 GigabitEthernet0/0 is administratively down (shutdown). Every VLAN, subinterface or route that depends on it is unreachable. Its subinterfaces GigabitEthernet0/0.10, GigabitEthernet0/0.20, GigabitEthernet0/0.30 inherit the shutdown state.","high","L1","inter_vlan_routing","show ip interface brief","Critical","GigabitEthernet0/0         unassigned      YES manual administratively down down","conf t | interface <interface> | no shutdown | end | Verify: show ip interface brief reports the interface up/up","Bouncing a parent interface takes every subinterface down with it, so schedule it outside production hours.","IFACE_ADMIN_DOWN","1","Physical interface Gi0/0 is shut down, which takes every dot1Q subinterface down with it","inter_vlan_routing","L1","True","True","True","True","0.233","False","False",""
"NS-09","mock","netsage-heuristic-v1","0","'show ip route' returned 'Default gateway is not set' instead of a routing table while SVIs with IP addresses exist. The global 'ip routing' command is missing, so the switch will not forward packets between VLANs.","high","L3","inter_vlan_routing","show ip route","Critical","Default gateway is not set || Vlan10                 192.168.10.1    YES manual up                    up || Vlan20                 192.168.20.1    YES manual up                    up","conf t | ip routing | end | Verify: show ip route now displays connected routes for every SVI subnet","Bouncing a parent interface takes every subinterface down with it, so schedule it outside production hours.","NO_IP_ROUTING","1","IP routing is disabled on the multilayer switch ('ip routing' is absent)","inter_vlan_routing","L3","True","True","True","True","0.44","False","False",""
"NS-10","mock","netsage-heuristic-v1","0","PC-STAFF-7 is 192.168.10.77/255.255.255.0 (network 192.168.10.0/24) but its default gateway is 192.168.1.1, which is not in that network. The host has no usable next hop for off-subnet traffic; same-subnet traffic still works via ARP.","medium","L3","addressing","ipconfig /all","High","IP Address......................: 192.168.10.77 || Subnet Mask.....................: 255.255.255.0 || Default Gateway.................: 192.168.1.1","Open the host's IP configuration | Set the default gateway to the router address inside the host's own subnet | Verify: ipconfig shows the corrected gateway and an off-subnet ping succeeds","Confirm no server or printer depends on the address you are about to change, and update DNS and any DHCP reservation at the same time.","GATEWAY_MISMATCH","1","PC-STAFF-7 has the wrong default gateway (192.168.1.1 instead of 192.168.10.1)","addressing","L3","True","True","True","True","0.536","False","False",""
"NS-11","mock","netsage-heuristic-v1","0","PC-LAB-4 uses mask 255.255.255.0 while the gateway interface holding 172.16.8.1 is configured with 255.255.252.0. The host's idea of its local subnet is wrong, so some on-link destinations are sent to the router and fail.","high","L3","addressing","ipconfig /all","High","Subnet Mask.....................: 255.255.255.0 || ip address 172.16.8.1 255.255.252.0","Open the host's IP configuration | Set the subnet mask to match the gateway interface | Verify: ipconfig shows the correct mask and all on-link hosts are reachable","Confirm no server or printer depends on the address you are about to change, and update DNS and any DHCP reservation at the same time.","SUBNET_MASK_MISMATCH ; SUBNET_MASK_MISMATCH","2","Subnet mask mismatch on PC-LAB-4: 255.255.255.0 configured where the segment uses 255.255.252.0","addressing","L3","True","True","True","True","0.25","False","False",""
"NS-12","mock","netsage-heuristic-v1","0","10.10.50.10 is configured on more than one device (SRV-WEB, SRV-PRINT). Both answer ARP, the ARP cache flaps between their MAC addresses and roughly half of all sessions land on the wrong host.","medium","L3","addressing","show ip arp","High","IP Address......................: 10.10.50.10 || R3# show logging | include DUPADDR","Identify which device was addressed most recently | Reassign that device to a free address in the subnet | clear arp-cache on the gateway | Verify: show ip arp lists exactly one MAC per IP and a sustained ping has zero loss","Confirm no server or printer depends on the address you are about to change, and update DNS and any DHCP reservation at the same time.","DUPLICATE_IP ; DUPLICATE_IP","2","Duplicate IP address 10.10.50.10 assigned to both SRV-WEB and SRV-PRINT","addressing","L3","True","True","True","True","0.533","False","False",""
"NS-13","mock","netsage-heuristic-v1","0","R1 GigabitEthernet0/0.20 carries a client subnet but has no ip helper-address, while GigabitEthernet0/0.10 on the same router does. DHCP DISCOVER is a broadcast and cannot cross a router without a relay, so clients on GigabitEthernet0/0.20 never reach the DHCP server.","high","L3","dhcp","show running-config | include helper","High","interface GigabitEthernet0/0.20 || encapsulation dot1Q 20 || ip address 192.168.20.1 255.255.255.0 || IP Address......................: 169.254.201.44","conf t | interface <client-facing-interface> | ip helper-address <dhcp-server> | end | Verify: the client renews and receives an address from the correct scope","Clearing bindings forces every client to renew at once; expect a short burst of DHCP traffic and some brief client interruptions.","APIPA_ADDRESS ; DHCP_HELPER_MISSING","2","Missing 'ip helper-address' on subinterface Gi0/0.20","dhcp","L3","True","True","True","True","0.28","False","False",""
"NS-14","mock","netsage-heuristic-v1","0","Pool LAB30 hands out addresses from 192.168.20.0/24 but advertises default-router 192.168.30.1, which is not inside that network. Clients receive an address and a gateway that cannot reach each other.","high","L3","dhcp","show running-config | section dhcp","High","ip dhcp pool LAB30 || network 192.168.20.0 255.255.255.0 || default-router 192.168.30.1 || IP Address......................: 192.168.20.31","conf t | ip dhcp pool <name> | network <correct-net> <mask> | end | clear ip dhcp binding * | Verify: a renewed client receives an address in its own subnet and pings its gateway","Clearing bindings forces every client to renew at once; expect a short burst of DHCP traffic and some brief client interruptions.","GATEWAY_MISMATCH ; DHCP_POOL_NETWORK_MISMATCH","2","DHCP pool LAB30 has the wrong network statement (192.168.20.0/24 instead of 192.168.30.0/24)","dhcp","L3","True","True","True","True","0.276","False","False",""
