"review_id","timestamp","case_id","reviewer","decision","ai_root_cause","ai_concept_tag","ai_osi_layer","ai_confidence","corrected_root_cause","corrected_concept_tag","corrected_osi_layer","corrected_next_command","notes","provider","model"
"NS-01-20260826T143851","2026-08-26T14:38:51","NS-01","auto-grader","Edited","PC1 is addressed 10.10.10.11/255.255.255.0, which belongs to VLAN 10 (SVI 10.10.10.1), but its switch port is in VLAN 20. The host is in the wrong broadcast domain.","vlan","L2","high","VLAN membership mismatch: the host is addressed for the 10.10.10.0/24 STAFF subnet but its switch port places it in the GUEST broadcast domain, so its ARP for the gateway never reaches the VLAN 10 SVI.","vlan","L2","show interfaces FastEthernet0/1 switchport","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-02-20260826T143851","2026-08-26T14:38:51","NS-02","auto-grader","Edited","An access port is assigned to VLAN 30 but the switch reports it as Inactive, meaning the VLAN was never created in the VLAN database. All frames for that VLAN are dropped.","vlan","L2","high","Assigning 'switchport access vlan 30' does not create VLAN 30 on an IOS switch when VTP is in transparent/off mode. The port shows 'Access Mode VLAN: 30 (Inactive)' and the switch drops all frames for the non-existent VLAN.","vlan","L2","show vlan brief","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-03-20260826T143851","2026-08-26T14:38:51","NS-03","auto-grader","Accepted","VLAN 20 (GUEST) is active on SW1 with member ports Fa0/4, Fa0/5, but it is not in the allowed VLAN list on trunk Gi0/1. Traffic for that VLAN works locally and fails across the trunk.","trunking","L2","high","VLAN 20 (GUEST) is active on SW1 with member ports Fa0/4, Fa0/5, but it is not in the allowed VLAN list on trunk Gi0/1. Traffic for that VLAN works locally and fails across the trunk.","trunking","L2","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-04-20260826T143851","2026-08-26T14:38:51","NS-04","auto-grader","Accepted","The two ends of the trunk disagree on the native VLAN ([1, 99]). Untagged frames are placed in different VLANs on each side, merging the broadcast domains and creating a VLAN-hopping exposure.","trunking","L2","high","The two ends of the trunk disagree on the native VLAN ([1, 99]). Untagged frames are placed in different VLANs on each side, merging the broadcast domains and creating a VLAN-hopping exposure.","trunking","L2","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-05-20260826T143851","2026-08-26T14:38:51","NS-05","auto-grader","Accepted","SW1 Gi0/1 reports 'not-trunking'. The far end is most likely a static access port or the encapsulation/mode pair cannot be negotiated, so only untagged VLAN 1 traffic crosses the link.","trunking","L2","high","SW1 Gi0/1 reports 'not-trunking'. The far end is most likely a static access port or the encapsulation/mode pair cannot be negotiated, so only untagged VLAN 1 traffic crosses the link.","trunking","L2","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-06-20260826T143851","2026-08-26T14:38:51","NS-06","auto-grader","Edited","SW3 GigabitEthernet0/2 is administratively down (shutdown). Every VLAN, subinterface or route that depends on it is unreachable.","trunking","L1","high","The uplink interface is in the 'administratively down' state, so no trunk is present in 'show interfaces trunk' and the CDP neighbour table no longer lists the distribution switch. Every inter-switch VLAN path is severed at Layer 1/2.","trunking","L1","show ip interface brief","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-07-20260826T143851","2026-08-26T14:38:51","NS-07","auto-grader","Accepted","R1 GigabitEthernet0/0.20 has an IP address but no 'encapsulation dot1Q' statement. Without a VLAN tag binding, the subinterface line protocol stays down and that VLAN has no Layer 3 gateway.","inter_vlan_routing","L3","high","R1 GigabitEthernet0/0.20 has an IP address but no 'encapsulation dot1Q' statement. Without a VLAN tag binding, the subinterface line protocol stays down and that VLAN has no Layer 3 gateway.","inter_vlan_routing","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-08-20260826T143851","2026-08-26T14:38:51","NS-08","auto-grader","Edited","R1 GigabitEthernet0/0 is administratively down (shutdown). Every VLAN, subinterface or route that depends on it is unreachable. Its subinterfaces GigabitEthernet0/0.10, GigabitEthernet0/0.20, GigabitEthernet0/0.30 inherit the shutdown state.","inter_vlan_routing","L1","high","Subinterfaces inherit the state of their parent. With Gi0/0 administratively down all three gateways are unreachable and the connected VLAN routes have been withdrawn from the routing table, so inter-VLAN routing and the default path both fail.","inter_vlan_routing","L1","show ip interface brief","Auto-graded: correct subsystem, but the root-cause wording is imprecise or the evidence citation is weak. Replaced with the lab's verified answer.","mock","netsage-heuristic-v1"
"NS-09-20260826T143851","2026-08-26T14:38:51","NS-09","auto-grader","Accepted","'show ip route' returned 'Default gateway is not set' instead of a routing table while SVIs with IP addresses exist. The global 'ip routing' command is missing, so the switch will not forward packets between VLANs.","inter_vlan_routing","L3","high","'show ip route' returned 'Default gateway is not set' instead of a routing table while SVIs with IP addresses exist. The global 'ip routing' command is missing, so the switch will not forward packets between VLANs.","inter_vlan_routing","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
"NS-10-20260826T143851","2026-08-26T14:38:51","NS-10","auto-grader","Accepted","PC-STAFF-7 is 192.168.10.77/255.255.255.0 (network 192.168.10.0/24) but its default gateway is 192.168.1.1, which is not in that network. The host has no usable next hop for off-subnet traffic; same-subnet traffic still works via ARP.","addressing","L3","medium","PC-STAFF-7 is 192.168.10.77/255.255.255.0 (network 192.168.10.0/24) but its default gateway is 192.168.1.1, which is not in that network. The host has no usable next hop for off-subnet traffic; same-subnet traffic still works via ARP.","addressing","L3","","Auto-graded: concept, layer and evidence all match the known answer.","mock","netsage-heuristic-v1"
